iter	Passed	Remaining
729	16770	6202
730	16790	6178
731	16809	6154
732	16829	6130
733	16851	6106
734	16873	6083
735	16893	6059
736	16912	6035
737	16932	6011
738	16952	5987
739	16974	5964
740	16996	5940
741	17018	5917
742	17038	5893
743	17060	5870
744	17082	5847
745	17102	5823
746	17125	5800
747	17144	5775
748	17167	5753
749	17188	5729
750	17209	5705
751	17230	5682
752	17248	5657
753	17271	5635
754	17290	5610
755	17309	5586
756	17328	5562
757	17348	5538
758	17370	5515
759	17391	5491
760	17409	5467
761	17428	5443
762	17447	5419
763	17467	5395
764	17487	5372
765	17508	5348
766	17528	5324
767	17549	5301
768	17568	5277
769	17590	5254
770	17613	5231
771	17635	5208
772	17656	5185
773	17680	5162
774	17702	5139
775	17724	5116
776	17745	5093
777	17767	5069
778	17790	5047
779	17811	5023
780	17833	5000
781	17852	4976
782	17871	4952
783	17902	4932
784	17926	4909
785	17945	4885
786	17964	4862
787	17984	4838
788	18004	4814
789	18025	4791
790	18045	4768
791	18065	4744
792	18090	4722
793	18110	4698
794	18134	4676
795	18154	4652
796	18176	4629
797	18196	4606
798	18217	4582
799	18237	4559
800	18257	4535
801	18279	4512
802	18298	4489
803	18322	4466
804	18342	4443
805	18364	4420
806	18392	4398
807	18412	4375
808	18432	4351
809	18452	4328
810	18472	4304
811	18492	4281
812	18512	4258
813	18539	4236
814	18559	4212
815	18582	4190
816	18600	4166
817	18622	4143
818	18640	4119
819	18662	4096
820	18681	4073
821	18702	4049
822	18722	4026
823	18741	4003
824	18764	3980
825	18785	3957
826	18805	3933
827	18825	3910
828	18847	3887
829	18866	3864
830	18887	3841
831	18907	3817
832	18927	3794
833	18946	3771
834	18967	3748
835	18986	3724
836	19007	3701
837	19026	3678
838	19047	3655
839	19067	3631
840	19089	3609
841	19110	3586
842	19129	3562
843	19150	3539
844	19170	3516
845	19190	3493
846	19209	3469
847	19228	3446
848	19249	3423
849	19270	3400
850	19287	3376
851	19308	3354
852	19328	3330
853	19351	3308
854	19371	3285
855	19391	3262
856	19411	3238
857	19430	3215
858	19452	3193
859	19475	3170
860	19495	3147
861	19515	3124
862	19534	3101
863	19552	3077
864	19580	3055
865	19603	3033
866	19627	3010
867	19653	2988
868	19675	2966
869	19698	2943
870	19719	2920
871	19742	2897
872	19762	2875
873	19784	2852
874	19803	2829
875	19824	2806
876	19846	2783
877	19877	2761
878	19893	2738
879	19913	2715
880	19932	2692
881	19951	2669
882	19968	2645
883	19990	2623
884	20014	2600
885	20034	2577
886	20058	2555
887	20074	2531
888	20095	2509
889	20115	2486
890	20135	2463
891	20157	2440
892	20175	2417
893	20199	2394
894	20220	2372
895	20240	2349
896	20260	2326
897	20279	2303
898	20299	2280
899	20319	2257
900	20340	2234
901	20360	2212
902	20382	2189
903	20401	2166
904	20422	2143
905	20442	2120
906	20461	2098
907	20481	2075
908	20499	2052
909	20519	2029
910	20538	2006
911	20560	1983
912	20581	1961
913	20603	1938
914	20624	1915
915	20643	1893
916	20662	1870
917	20684	1847
918	20705	1825
919	20728	1802
920	20748	1779
921	20769	1757
922	20789	1734
923	20810	1711
924	20835	1689
925	20855	1666
926	20875	1643
927	20894	1621
928	20915	1598
929	20935	1575
930	20954	1553
931	20974	1530
932	20993	1507
933	21015	1485
934	21039	1462
935	21061	1440
936	21082	1417
937	21098	1394
938	21117	1371
939	21134	1348
940	21155	1326
941	21171	1303
942	21189	1280
943	21209	1258
944	21226	1235
945	21246	1212
946	21265	1190
947	21285	1167
948	21300	1144
949	21320	1122
950	21342	1099
951	21360	1076
952	21379	1054
953	21398	1031
954	21422	1009
955	21443	986
956	21460	964
957	21482	941
958	21500	919
959	21520	896
960	21541	874
